Year;Month;Day;Hour;Minute;Seconds;V_t;V_t_err ;V_sw ;V_pf;V_pf_err;Theta_B;N_t (x);N_t(y);N_t(z);B0(x);B0(y);B0(z);|B0|;;;;;
2005;4;5;11;22;18,7;357,4;5,4;639,1;33,8;34,9;137,6;-0,56;-0,83;0,06;1,4;-1,2;-0,3;4,7;;;;;
2005;4;5;22;0;48,4;609,3;16,2;629,2;-14,7;63,0;5,3;-0,98;0,16;-0,06;-0,4;-3,1;-1,1;3,3;;;;;
2005;4;7;23;1;45,2;375,0;5,4;402,9;4,0;36,4;3,2;-0,90;0,34;0,25;-0,4;-1,5;0,4;1,6;;;;;
2005;4;7;4;52;5,5;356,4;5,1;470,4;81,9;25,0;132,7;-0,54;0,57;-0,62;-0,4;-0,7;-0,5;1,8;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Outliers;;;;;;;;;;;;;;;;;;;;;;;
2005;2;8;0;35;22,1;507,9;174,4;737,4;337,3;305,2;140,3;-0,29;-0,54;0,61;0,6;-0,1;1,9;5,8;;;;;
2005;2;8;0;37;0,0;559,3;160,7;737,4;270,2;299,7;141,4;-0,43;-0,31;0,59;0,6;-0,1;1,9;5,8;;;;;
2005;2;8;0;47;44,6;523,6;253,8;740,2;219,9;383,2;10,2;-0,40;-0,07;0,35;-0,2;-2,1;6,5;6,9;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
All velocitites (V*) are in units of km/s ;;;;;;;;;;;;;;;;;;;;;;;
Angle of B is in unit of degrees;;;;;;;;;;;;;;;;;;;;;;;
Magnetic field B in (nT) ;;;;;;;;;;;;;;;;;;;;;;;
